Order ID,Order Priority,Order Quantity,Sales,Ship Mode,Unit Price,Customer Name,Province,Region,Product Category,Product Sub Category
O1344,Low,18,2481,Regular Air,156,Jim Radford,Nunavut,Nunavut,Technology,Telephones and Communication
O1412,Not Specified,13,59,Express Air,4,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Labels
O1412,Not Specified,21,97,Regular Air,5,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Rubber Bands
O1539,Low,33,512,Regular Air,16,Carl Ludwig,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O1539,Low,38,185,Regular Air,5,Carl Ludwig,Nunavut,Nunavut,Technology,Computer Peripherals
O1540,High,30,81,Regular Air,3,Don Miller,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies
O1702,High,23,67,Regular Air,3,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies
O1761,High,25,12028,Delivery Truck,450,Carl Ludwig,Nunavut,Nunavut,Technology,Copiers and Fax
O1792,Low,28,370,Regular Air,13,Carlos Soltero,Nunavut,Nunavut,Office Supplies,Storage & Organization
O2275,Not Specified,49,278,Regular Air,6,Grant Carroll,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies
O2277,Not Specified,10,67,Regular Air,6,Don Miller,Nunavut,Nunavut,Technology,Computer Peripherals
O2277,Not Specified,21,845,Regular Air,41,Don Miller,Nunavut,Nunavut,Office Supplies,Paper
O2532,High,39,282,Regular Air,7,Alan Barnes,Nunavut,Nunavut,Office Supplies,Labels
O2532,High,24,426,Regular Air,21,Alan Barnes,Nunavut,Nunavut,Technology,Telephones and Communication
O2631,Low,27,1078,Regular Air,41,Jack Garza,Nunavut,Nunavut,Technology,Computer Peripherals
O2757,Critical,39,3554,Delivery Truck,96,Julia West,Nunavut,Nunavut,Furniture,Chairs & Chairmats
O2791,High,47,192,Regular Air,4,Eugene Barchas,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O2791,High,49,5586,Delivery Truck,121,Eugene Barchas,Nunavut,Nunavut,Furniture,Chairs & Chairmats
O2791,High,18,508,Regular Air,31,Eugene Barchas,Nunavut,Nunavut,Office Supplies,Paper
O2976,Not Specified,30,14224,Delivery Truck,501,Edward Hooks,Nunavut,Nunavut,Furniture,Chairs & Chairmats
O3232,Critical,5,43,Regular Air,8,Brad Eason,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O3524,High,21,427,Regular Air,19,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper
O3908,Medium,8,820,Regular Air,116,Dorothy Wardle,Nunavut,Nunavut,Technology,Telephones and Communication
O4132,Not Specified,5,15,Regular Air,3,Aaron Bergman,Nunavut,Nunavut,Office Supplies,Labels
O4612,Medium,9,90,Regular Air,4,Jim Radford,Nunavut,Nunavut,Office Supplies,Appliances
O4676,High,11,1210,Regular Air,126,Annie Cyprus,Nunavut,Nunavut,Technology,Telephones and Communication
O4676,High,50,188,Regular Air,4,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Labels
O4676,High,3,50,Express Air,12,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Paper
O4676,High,30,4253,Regular Air,156,Annie Cyprus,Nunavut,Nunavut,Technology,Telephones and Communication
O5284,Not Specified,7,59,Regular Air,9,Annie Cyprus,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O5316,Critical,42,1285,Regular Air,32,Clay Rozendal,Nunavut,Nunavut,Technology,Computer Peripherals
O5409,Low,11,49,Regular Air,4,Don Jones,Nunavut,Nunavut,Office Supplies,Paper
O5506,Critical,22,130,Regular Air,6,Beth Thompson,Nunavut,Nunavut,Office Supplies,Paper
O5569,Not Specified,12,119,Regular Air,10,Frank Price,Nunavut,Nunavut,Furniture,Office Furnishings
O5607,Not Specified,8,62,Regular Air,8,Michelle Lonsdale,Nunavut,Nunavut,Technology,Telephones and Communication
O5894,High,7,384,Regular Air,58,Ann Chong,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O5894,High,3,239,Regular Air,80,Ann Chong,Nunavut,Nunavut,Office Supplies,Appliances
O5925,Low,44,3922,Regular Air,92,Joy Bell,Nunavut,Nunavut,Furniture,Office Furnishings
O5925,Low,25,1733,Regular Air,86,Joy Bell,Nunavut,Nunavut,Technology,Telephones and Communication
O6016,High,19,208,Regular Air,11,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper
O6116,Medium,6,9621,Regular Air,1638,Barry Weirich,Nunavut,Nunavut,Office Supplies,Scissors, Rulers and Trimmers
O6182,Low,40,255,Regular Air,6,Grant Carroll,Nunavut,Nunavut,Office Supplies,Paper
O6182,Low,18,130,Express Air,6,Grant Carroll,Nunavut,Nunavut,Office Supplies,Paper
O6535,Critical,11,312,Express Air,28,Adrian Hane,Nunavut,Nunavut,Office Supplies,Pens & Art Supplies
O6884,Low,41,217,Regular Air,5,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper
O6884,Low,47,296,Regular Air,6,Skye Norling,Nunavut,Nunavut,Office Supplies,Paper
O6916,Low,40,436,Express Air,11,Andrew Gjertsen,Nunavut,Nunavut,Office Supplies,Storage & Organization
O6980,Not Specified,18,136,Regular Air,7,Ralph Knight,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O6982,Not Specified,32,1311,Express Air,39,Dorothy Wardle,Nunavut,Nunavut,Technology,Computer Peripherals
O6982,Not Specified,5,544,Delivery Truck,101,Dorothy Wardle,Nunavut,Nunavut,Furniture,Bookcases
O6982,Not Specified,41,844,Regular Air,20,Dorothy Wardle,Nunavut,Nunavut,Furniture,Office Furnishings
O7110,Low,22,6396,Regular Air,276,Grant Carroll,Nunavut,Nunavut,Furniture,Chairs & Chairmats
O7430,Medium,50,752,Regular Air,16,Barry Weirich,Nunavut,Nunavut,Office Supplies,Envelopes
O7906,Medium,37,1003,Regular Air,26,Beth Paige,Nunavut,Nunavut,Office Supplies,Appliances
O8391,High,4,1267,Delivery Truck,301,Sylvia Foulston,Nunavut,Nunavut,Furniture,Chairs & Chairmats
O8419,Critical,19,368,Express Air,20,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper
O8419,Critical,24,153,Regular Air,6,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Paper
O8833,Low,40,3339,Regular Air,81,Nicole Hansen,Nunavut,Nunavut,Office Supplies,Storage & Organization
O8995,High,5,24,Express Air,2,Beth Paige,Nunavut,Nunavut,Office Supplies,Binders and Binder Accessories
O8995,High,41,271,Express Air,6,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Paper
O8995,High,35,3390,Express Air,102,Beth Paige,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O8995,High,42,266,Regular Air,6,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Paper
O8995,High,46,89,Regular Air,2,Beth Paige,Northwest Territories,Northwest Territories,Office Supplies,Rubber Bands
O9126,Medium,47,2800,Regular Air,62,Sylvia Foulston,Northwest Territories,Northwest Territories,Office Supplies,Appliances
O9127,Not Specified,7,2040,Express Air,279,Bryan Davis,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O9509,Not Specified,36,12176,Delivery Truck,321,Joy Bell,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O9509,Not Specified,5,101,Express Air,19,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Paper
O9509,Not Specified,32,1586,Regular Air,49,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Paper
O9763,Medium,44,176,Regular Air,4,Alan Barnes,Northwest Territories,Northwest Territories,Office Supplies,Labels
O9927,High,32,4655,Delivery Truck,141,Grant Carroll,Northwest Territories,Northwest Territories,Furniture,Bookcases
O9927,High,44,10088,Regular Air,218,Grant Carroll,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O9927,High,34,1608,Express Air,51,Grant Carroll,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O10022,Low,1,12,Regular Air,10,Delfina Latchford,Northwest Territories,Northwest Territories,Office Supplies,Paper
O10437,Critical,50,821,Regular Air,16,Don Jones,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O10499,Not Specified,29,6251,Delivery Truck,262,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Tables
O10535,Low,25,855,Regular Air,34,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O10535,Low,46,80,Regular Air,2,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O10789,Not Specified,15,309,Express Air,20,Jamie Kunitz,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O10791,Not Specified,20,401,Regular Air,20,Anthony Johnson,Northwest Territories,Northwest Territories,Office Supplies,Paper
O10945,Medium,14,1170,Regular Air,96,Ralph Knight,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O11137,High,48,5189,Regular Air,111,Allen Rosenblatt,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O11202,Medium,8,340,Regular Air,43,Barry Weirich,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O11456,Low,15,1520,Regular Air,105,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O11460,High,30,102,Regular Air,4,Carl Jackson,Northwest Territories,Northwest Territories,Office Supplies,Labels
O11495,High,6,966,Delivery Truck,146,Brendan Dodson,Northwest Territories,Northwest Territories,Furniture,Tables
O11911,Critical,25,398,Regular Air,15,Edward Hooks,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O11941,Critical,4,73,Regular Air,16,Jamie Kunitz,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O11941,Critical,26,4679,Delivery Truck,179,Jamie Kunitz,Northwest Territories,Northwest Territories,Furniture,Tables
O12096,Medium,46,8010,Regular Air,201,Michelle Lonsdale,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O12096,Medium,23,4690,Regular Air,194,Michelle Lonsdale,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O12289,Low,25,3019,Regular Air,121,Brendan Dodson,Northwest Territories,Northwest Territories,Technology,Office Machines
O12352,Medium,5,37,Regular Air,6,Hunter Glantz,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O12419,Critical,12,22079,Regular Air,1938,Sylvia Foulston,Northwest Territories,Northwest Territories,Technology,Office Machines
O12485,Critical,24,5407,Delivery Truck,227,Eugene Barchas,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O12544,Low,34,74,Regular Air,2,Jim Radford,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O12704,Low,44,21507,Regular Air,500,Carlos Soltero,Northwest Territories,Northwest Territories,Technology,Copiers and Fax
O12704,Low,28,669,Delivery Truck,21,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O12771,Critical,40,1143,Regular Air,31,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Labels
O12771,Critical,46,78,Regular Air,2,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O12929,Critical,19,5297,Delivery Truck,271,Jim Radford,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O12929,Critical,20,95,Regular Air,4,Jim Radford,Northwest Territories,Northwest Territories,Office Supplies,Paper
O13280,High,40,461,Regular Air,11,Grant Carroll,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O13280,High,49,319,Regular Air,8,Grant Carroll,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O13313,Not Specified,47,1021,Regular Air,22,Skye Norling,Northwest Territories,Northwest Territories,Office Supplies,Appliances
O13346,Low,44,268,Regular Air,6,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Paper
O13702,Low,6,209,Regular Air,35,Grant Carroll,Northwest Territories,Northwest Territories,Office Supplies,Paper
O13795,Not Specified,30,501,Regular Air,16,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O13795,Not Specified,23,275,Express Air,11,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Paper
O13795,Not Specified,37,1303,Regular Air,35,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Office Supplies,Paper
O14116,High,1,40,Regular Air,31,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O14116,High,42,1414,Regular Air,35,Doug Bickford,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O14372,Critical,34,5351,Delivery Truck,171,Beth Thompson,Northwest Territories,Northwest Territories,Furniture,Bookcases
O14726,Low,15,311,Regular Air,21,Ralph Knight,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O14819,Not Specified,48,9063,Regular Air,207,Carl Jackson,Northwest Territories,Northwest Territories,Office Supplies,Appliances
O14819,Not Specified,27,1584,Delivery Truck,58,Carl Jackson,Northwest Territories,Northwest Territories,Furniture,Bookcases
O15106,Not Specified,42,284,Regular Air,7,Dorothy Badders,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O15106,Not Specified,39,5403,Delivery Truck,145,Dorothy Badders,Northwest Territories,Northwest Territories,Technology,Office Machines
O15106,Not Specified,35,82,Regular Air,2,Dorothy Badders,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O15108,High,50,2066,Regular Air,41,Delfina Latchford,Northwest Territories,Northwest Territories,Office Supplies,Paper
O15205,Critical,18,4605,Delivery Truck,244,Julia West,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O15205,Critical,42,1754,Regular Air,40,Julia West,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O15591,Critical,31,426,Regular Air,13,Brad Eason,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O15907,High,36,1837,Delivery Truck,49,Thomas Seio,Northwest Territories,Northwest Territories,Furniture,Bookcases
O15907,High,36,3722,Express Air,106,Thomas Seio,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O15907,High,4,28,Regular Air,7,Thomas Seio,Northwest Territories,Northwest Territories,Office Supplies,Paper
O15937,Low,32,311,Regular Air,10,Monica Federle,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O15937,Low,17,216,Express Air,12,Monica Federle,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O16039,High,3,121,Regular Air,44,Michelle Lonsdale,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O16193,Not Specified,8,300,Regular Air,35,Frank Price,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O16193,Not Specified,29,1365,Regular Air,56,Frank Price,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O16423,Medium,19,128,Regular Air,6,Bryan Davis,Northwest Territories,Northwest Territories,Office Supplies,Paper
O16451,Not Specified,9,253,Regular Air,31,Don Jones,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O16545,Not Specified,10,51,Regular Air,5,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O16545,Not Specified,1,5,Regular Air,4,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Scissors, Rulers and Trimmers
O16547,Not Specified,30,10555,Delivery Truck,356,Nicole Hansen,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O16547,Not Specified,8,1750,Delivery Truck,219,Nicole Hansen,Northwest Territories,Northwest Territories,Furniture,Tables
O16706,High,47,1944,Regular Air,41,Beth Thompson,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O16706,High,6,18,Regular Air,3,Beth Thompson,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O16706,High,49,6176,Express Air,156,Beth Thompson,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O16741,Medium,6,158,Regular Air,23,Nicole Hansen,Northwest Territories,Northwest Territories,Office Supplies,Paper
O16932,Critical,25,145,Regular Air,6,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Paper
O16932,Critical,20,127,Regular Air,7,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O17283,Not Specified,4,5472,Delivery Truck,1360,Dorothy Badders,Northwest Territories,Northwest Territories,Technology,Office Machines
O17286,High,7,1811,Delivery Truck,271,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O17409,Not Specified,31,634,Regular Air,21,Muhammed MacIntyre,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O17764,Low,27,644,Regular Air,23,Don Miller,Northwest Territories,Northwest Territories,Office Supplies,Paper
O18080,High,7,1212,Delivery Truck,181,Sylvia Foulston,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O18113,Not Specified,27,3316,Delivery Truck,131,Becky Castell,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O18144,Critical,48,207,Regular Air,4,Dorothy Wardle,Northwest Territories,Northwest Territories,Office Supplies,Paper
O18144,Critical,8,234,Regular Air,28,Dorothy Wardle,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O18144,Critical,41,1780,Regular Air,56,Dorothy Wardle,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O18308,Not Specified,30,114,Regular Air,4,Ann Chong,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O18308,Not Specified,15,436,Regular Air,31,Ann Chong,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O18308,Not Specified,49,5247,Regular Air,126,Ann Chong,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O18887,Not Specified,9,173,Regular Air,21,Clay Rozendal,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O19010,Low,18,23793,Regular Air,1271,Grant Carroll,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O19078,Critical,21,256,Regular Air,12,Brendan Dodson,Northwest Territories,Northwest Territories,Office Supplies,Appliances
O19138,Low,30,387,Express Air,12,Carlos Daly,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O19655,High,31,1143,Regular Air,39,Alan Barnes,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O19686,Medium,2,42,Regular Air,18,Alan Barnes,Northwest Territories,Northwest Territories,Technology,Office Machines
O19686,Medium,11,153,Regular Air,13,Alan Barnes,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O20007,Not Specified,49,83,Regular Air,2,Nicole Hansen,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O20071,Medium,31,790,Delivery Truck,26,Cari Schnelling,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O20160,Low,42,435,Express Air,10,Chad Cunningham,Northwest Territories,Northwest Territories,Office Supplies,Paper
O20263,Medium,8,474,Regular Air,60,Bryan Mills,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O20263,Medium,33,554,Regular Air,21,Bryan Mills,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O21285,Medium,32,55,Regular Air,2,Adrian Hane,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O21285,Medium,47,305,Regular Air,7,Adrian Hane,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O21383,Low,31,16067,Regular Air,575,Rick Reed,Northwest Territories,Northwest Territories,Technology,Office Machines
O21607,Not Specified,17,619,Regular Air,37,Heather Kirkland,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O21636,Low,35,1665,Regular Air,56,Fred Wasserman,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O21889,Low,21,1050,Regular Air,52,Becky Castell,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O21889,Low,16,817,Regular Air,55,Becky Castell,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O22151,High,49,466,Regular Air,10,Beth Thompson,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O22342,Low,13,242,Regular Air,21,Claudia Miner,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O22469,High,44,276,Regular Air,8,Jack Lebron,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O22501,High,2,31,Express Air,8,Alan Barnes,Northwest Territories,Northwest Territories,Office Supplies,Envelopes
O22532,Critical,13,122,Regular Air,9,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O23264,Critical,16,108,Regular Air,6,Clay Rozendal,Northwest Territories,Northwest Territories,Office Supplies,Paper
O23264,Critical,27,78,Regular Air,3,Clay Rozendal,Northwest Territories,Northwest Territories,Office Supplies,Labels
O23488,Critical,30,26133,Delivery Truck,881,Julia West,Northwest Territories,Northwest Territories,Furniture,Bookcases
O23584,Critical,14,2671,Delivery Truck,201,Alan Barnes,Northwest Territories,Northwest Territories,Technology,Office Machines
O24007,Low,26,532,Regular Air,21,Joy Bell,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O24007,Low,28,318,Regular Air,12,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Envelopes
O24007,Low,42,163,Regular Air,4,Joy Bell,Northwest Territories,Northwest Territories,Office Supplies,Labels
O24038,High,38,103,Regular Air,3,Jack Lebron,Northwest Territories,Northwest Territories,Office Supplies,Pens & Art Supplies
O24097,High,1,17,Regular Air,14,Anthony Johnson,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O24097,High,27,2689,Regular Air,100,Anthony Johnson,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O24097,High,2,15,Regular Air,5,Anthony Johnson,Northwest Territories,Northwest Territories,Office Supplies,Paper
O24128,High,13,271,Regular Air,22,Eugene Barchas,Northwest Territories,Northwest Territories,Office Supplies,Paper
O24128,High,43,6584,Regular Air,196,Eugene Barchas,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O24294,Not Specified,24,4866,Delivery Truck,201,Thomas Seio,Northwest Territories,Northwest Territories,Technology,Office Machines
O24387,Critical,23,1003,Regular Air,41,Bryan Mills,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O24387,Critical,17,6048,Delivery Truck,349,Bryan Mills,Northwest Territories,Northwest Territories,Furniture,Tables
O24515,Critical,41,3051,Delivery Truck,81,Eugene Barchas,Northwest Territories,Northwest Territories,Technology,Office Machines
O24743,Low,47,9634,Delivery Truck,217,Sylvia Foulston,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O24743,Low,26,3759,Regular Air,141,Sylvia Foulston,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O24871,Medium,6,144,Regular Air,23,Carl Ludwig,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O25318,Critical,22,441,Express Air,20,Julia West,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O25377,Low,3,4344,Delivery Truck,1501,Don Jones,Northwest Territories,Northwest Territories,Technology,Office Machines
O25634,Not Specified,29,593,Regular Air,21,Mike Pelletier,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O25634,Not Specified,26,626,Express Air,24,Mike Pelletier,Northwest Territories,Northwest Territories,Office Supplies,Envelopes
O25733,Low,24,557,Regular Air,25,Eugene Barchas,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O25767,High,7,262,Regular Air,39,Ann Chong,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O25767,High,15,594,Regular Air,39,Ann Chong,Northwest Territories,Northwest Territories,Office Supplies,Paper
O26023,High,49,121,Regular Air,2,Charles McCrossin,Northwest Territories,Northwest Territories,Office Supplies,Rubber Bands
O26051,Not Specified,22,796,Delivery Truck,34,Annie Cyprus,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O26051,Not Specified,31,252,Regular Air,8,Annie Cyprus,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O26116,Critical,36,697,Regular Air,19,Carlos Soltero,Northwest Territories,Northwest Territories,Office Supplies,Paper
O26182,Not Specified,30,4685,Delivery Truck,151,Doug Bickford,Northwest Territories,Northwest Territories,Furniture,Bookcases
O26272,Low,6,906,Express Air,141,Carlos Daly,Northwest Territories,Northwest Territories,Furniture,Chairs & Chairmats
O26370,Not Specified,12,270,Regular Air,23,Fred Wasserman,Northwest Territories,Northwest Territories,Office Supplies,Paper
O26370,Not Specified,20,660,Express Air,35,Fred Wasserman,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
O26499,Medium,11,32,Regular Air,3,Sylvia Foulston,Northwest Territories,Northwest Territories,Office Supplies,Labels
O26531,Medium,26,4689,Regular Air,206,Michelle Lonsdale,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O26567,Critical,8,51,Regular Air,5,Sylvia Foulston,Northwest Territories,Northwest Territories,Office Supplies,Binders and Binder Accessories
O26567,Critical,10,90,Express Air,8,Sylvia Foulston,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O26567,Critical,22,339,Regular Air,15,Sylvia Foulston,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O26567,Critical,48,6110,Regular Air,156,Sylvia Foulston,Northwest Territories,Northwest Territories,Technology,Telephones and Communication
O26854,Not Specified,1,34,Regular Air,25,Charlotte Melton,Northwest Territories,Northwest Territories,Furniture,Office Furnishings
O27109,Critical,48,538,Regular Air,11,Barry French,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O27111,High,11,1064,Regular Air,100,Heather Kirkland,Northwest Territories,Northwest Territories,Technology,Computer Peripherals
O27111,High,18,3497,Regular Air,193,Heather Kirkland,Northwest Territories,Northwest Territories,Office Supplies,Storage & Organization
